cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,cvss_version,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,attack_requirements,confidentiality_impact,integrity_impact,availability_impact,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision,quality_score,quality_reasons
CVE-2024-34032,2024-05-03T00:16:40.017000,2024-08-12T20:08:42.943000,False,,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie ","0,1.10.00.005",CWE-89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') CWE-89,2024-06-25T19:09:34.838148,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-2378,2024-04-30T12:58:21.972000,2024-08-01T19:11:53.375000,False,,3.1,8.0,HIGH,ADJACENT_NETWORK,HIGH,LOW,NONE,CHANGED,N/A,HIGH,HIGH,HIGH,Hitachi Energy,"sdm600,SDM600","1.0,1.x",CWE-863,CWE-863,2024-04-30T13:54:30.399831,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-2377,2024-04-30T12:55:20.956000,2024-08-01T19:11:53.467000,False,,3.1,7.6,HIGH,ADJACENT_NETWORK,HIGH,LOW,REQUIRED,CHANGED,N/A,HIGH,HIGH,HIGH,Hitachi Energy,"sdm600,SDM600","-,0",CWE-346,CWE-346 Origin Validation Error,2024-05-01T14:38:02.963543,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5404,2024-04-17T16:44:37.703000,2024-08-02T07:59:44.850000,False,,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Honeywell,"experion_server,Experion Server,Experion Server,Experion Server","520.2, 510.1, 520.1, 511.1, 520.2, 511.1,520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-122,CWE-122,2024-05-09T18:36:32.635602,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5403,2024-04-17T16:43:54.036000,2024-08-29T19:38:53.821000,False,,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Honeywell,"experion_server,Experion Server,Experion Server,Experion Server","511.5tcu4hf3,510.1,520.1,511.1,520.2,520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-121,CWE-121,2024-08-07T13:43:42.943158,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5401,2024-04-17T16:42:00.403000,2024-08-02T07:59:44.782000,False,,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Honeywell,"experion_server,Experion Server,Experion Server,Experion Server","520.2,510.1,520.1,511.1,520.2 TCU4 HFR2,520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-121,CWE-121,2024-07-31T14:00:59.742038,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5400,2024-04-17T16:41:10.932000,2024-08-02T07:59:44.742000,False,,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Honeywell,"experion_server,experion_server,experion_server,experion_server,Experion Server,Experion Server,Experion Server","*,*,*,*,520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-122,CWE-122,2024-04-25T19:39:14.509795,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5397,2024-04-17T16:38:21.534000,2024-08-08T15:58:57.657000,False,,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Honeywell,"experion_server,Experion Server,Experion Server,Experion Server","520.2,510.1,520.1,511.1,520.2_tcu4_hfr2,520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-20,CWE-20,2024-08-08T15:49:52.243408,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5396,2024-04-17T16:37:41.106000,2024-08-02T07:59:44.711000,False,,3.1,7.4,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,NONE,HIGH,HIGH,Honeywell,"Experion Server,Experion Server,Experion Server","520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-805,CWE-805,2024-04-25T16:06:28.333552,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5395,2024-04-17T16:37:00.868000,2024-08-02T07:59:44.353000,False,,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Honeywell,"experion_server,experion_server,experion_server,experion_server,Experion Server,Experion Server,Experion Server","520.2,510.1,520.1,511.1,520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-121,CWE-121,2024-04-23T18:42:52.918169,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
